Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805_2012Metric,2,10uF,C15850
C3,0805,1,0.1uF,C519981
"C4, C5",1210,2,22uF,C65428
D1,LED0603,1,MOTOR_LED,C2286
D2,LED0603,1,Power LED,C72043
"F1, F2, F3",1206,3,20A,C207007
J1,PinHeader_1x05_P2.54mm_Vertical,1,Motor Control R,C492404
J10,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,FL Encoder,C265102
J11,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,BL Encoder,C265102
J12,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,FR Encoder,C265102
J13,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,BR Encoder,C265102
J2,PinHeader_1x05_P2.54mm_Vertical,1,Motor Control L,C492404
J3,PinHeader_1x04_P2.54mm_Vertical,1,GND,C2691448
J4,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Motor Power R,C2913282
J5,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Battery Power,C2913282
J6,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Motor Power L,C2913282
J7,PinHeader_1x04_P2.54mm_Vertical,1,3.3V,C2691448
J8,PinHeader_1x04_P2.54mm_Vertical,1,UART,C2691448
J9,PinHeader_1x04_P2.54mm_Vertical,1,5V,C2691448
L1,L_Vishay_IHLP-4040,1,3.3uH,C845075
Q1,SOT95P285X140-6N,1,DMMT5401-7-F,C154733
Q2,SOT91P240X110-3N,1,DMG2305UX-13,C144153
"Qw1, Qw2, Qw3, Qw4, Qw5, Qw6, Qw7, Qw8",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,8,Qwiic,C160390
"R1, R2, R27, R28, R29, R3, R30, R4",0603_1608Metric,8,15k,C22809
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R32, R33, R6, R7, R8, R9",0603_1608Metric,22,10K,C25804
"R26, R5",0603_1608Metric,2,1kΩ,C21190
R31,0603_1608Metric,1,56.2k,C482887
R34,0603_1608Metric,1,47K,C25819
"SW1, SW4",JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,2,SW_PWR,C160352
SW2,SW_PUSH_6mm,1,RST_SW,C393938
SW3,SW_PUSH_6mm,1,BOOT_SW,C393938
U1,DPAK85P972X240-8N,1,MOTOR_PWR,C2150194
U3,SOP65P640X120-24N,1,TCA9548APWR,C130026
U4,DPAK85P972X240-8N,1,POWER_IN,C2150194
U5,SOT95P280X110-6N,1,TPS564208DDCT,C2070774
